疫情序号,时间,省份,显示地点,坐标,发病数（头）,死亡数（头）,处理（头）
1,2018/8/1,辽宁,沈阳,"123.535333,42.059558",47,47,8116
2,2018/8/14,河南,郑州,"113.74962,34.72806",30,30,1362
3,2018/8/15,江苏,连云港,"119.169191,34.578764",615,88,14577
4,2018/8/17,浙江,乐清,"120.993075,28.118435",430,340,1332
5,2018/8/29,安徽,芜湖,"118.342139,30.921003",185,80,379
6,2018/9/2,安徽,宣城,"118.660047,31.036042",,40,285
7,2018/9/2,安徽,宣城,"118.792405,31.012943",,94,440
8,2018/9/3,安徽,宣城,"118.674575,30.875007",152,83,308
9,2018/9/3,江苏,无锡,"119.831035,31.343697",12,9,97
10,2018/9/5,黑龙江,佳木斯,"130.309966,46.815078",39,12,87
11,2018/9/6,安徽,滁州,"117.540312,32.880735",62,22,886
12,2018/9/6,黑龙江,佳木斯,"130.372615,46.813709",26,10,203
13,2018/9/6,安徽,芜湖,"118.416177,31.071564",13,4,30
14,2018/9/6,安徽,宣城,"118.598473,30.925459",15,15,52
15,2018/9/10,安徽,铜陵,"117.797703,30.958761",63,23,219
16,2018/9/12,内蒙古,阿巴嘎旗,"114.956219,44.028311",16,16,
17,2018/9/12,河南,获嘉,"113.663989,35.266045",148,64,
18,2018/9/15,内蒙古,正蓝旗,"115.999179,42.246478",14,8,159
19,2018/9/17,吉林,南崴子镇,"124.750816,43.467731",56,56,484
20,2018/9/17,内蒙古,科尔沁右翼中旗,"121.479525,45.068713",23,22,138
21,2018/9/22,内蒙古,呼和浩特,"111.672149,40.837288",4,2,388
22,2018/9/28,吉林,长岭,"123.974371,44.282258",8,3,44
23,2018/9/28,辽宁,营口,"122.387173,40.686919",,102,378
24,2018/10/7,辽宁,营口,"122.515954,40.650583",334,93,3358
25,2018/10/8,辽宁,鞍山,"122.438529,41.45342",160,160,460
26,2018/10/11,辽宁,大连,"121.968311,39.408125",20,11,1353
27,2018/10/12,辽宁,鞍山,"122.365286,41.333762",88,72,120
28,2018/10/12,天津,蓟州,"117.404228,40.032727",292,189,639
29,2018/10/14,辽宁,鞍山,"122.308283,41.467788",14,14,180
30,2018/10/14,辽宁,锦州,"121.784886,41.59529",221,221,19938
31,2018/10/14,辽宁,盘锦,"122.045861,40.956721",109,109,1571
32,2018/10/14,辽宁,盘锦,"122.088952,40.959196",129,129,270
33,2018/10/15,辽宁,铁岭,"123.863739,42.559353",50,14,6640
34,2018/10/15,辽宁,盘锦,"121.988245,41.047726",1030,1030,4323
35,2018/10/15,辽宁,盘锦,"122.085297,41.007711",31,20,3223
36,2018/10/16,辽宁,盘锦,"122.250895,40.932002",43,43,161
37,2018/10/17,山西,大同,"112.70918,40.019843",7,4,15
38,2018/10/20,云南,昭通,"104.576828,27.505232",298,298,804
39,2018/10/20,云南,昭通,"105.195815,27.567067",247,247,353
40,2018/10/21,浙江,台州,"121.402271,29.110859",56,56,2280
41,2018/10/22,湖南,益阳,"112.163405,28.523363",44,17,546
42,2018/10/22,湖南,常德,"111.495694,28.909199",208,31,268
43,2018/10/25,贵州,毕节,"104.732945,27.129052",8,8,10
44,2018/10/26,贵州,毕节,"105.30928,27.304352",25,25,49
45,2018/10/27,湖南,常德,"111.495407,28.909958",106,99,7684
46,2018/10/30,山西,曲阳,"112.678548,38.065076",75,47,210
47,2018/10/30,湖南,沅陵,"110.399565,28.459019",25,22,144
48,2018/10/30,云南,普洱,"100.966018,22.797828",5,1,36
49,2018/11/3,山西,曲阳,"112.429161,38.142219",25,7,47
50,2018/11/4,重庆,丰都,"107.824977,29.954048",3,3,309
51,2018/11/5,湖南,湘西自治州,"109.6659,28.706475",11,4,119
52,2018/11/7,湖北,罗田,"115.394053,30.774514",22,4,821
53,2018/11/8,湖南,涟源,"111.663085,27.696121",4,1,9
54,2018/11/8,江西,万年,"117.062871,28.701067",49,49,154
55,2018/11/8,吉林,龙井,"129.424013,42.771536",144,144,930
56,2018/11/8,福建,莆田,"119.000103,25.424605",85,85,4521
57,2018/11/9,安徽,青阳,"117.854871,30.643894",96,47,8339
58,2018/11/12,湖北,武穴,"115.568827,29.851193",7,6,147
59,2018/11/15,湖北,浠水,"115.271569,30.456714",24,13,636
60,2018/11/15,四川,高县,"104.524988,28.441748",16,10,40
61,2018/11/16,吉林,白山,"126.427643,41.940336",,1（野猪）,
62,2018/11/16,云南,威信,"105.055868,27.843211",1,1,1
63,2018/11/17,江西,鄱阳,"116.71114,29.01019",10,10,150
64,2018/11/17,云南,昆明,"102.829194,24.891084",,,348
65,2018/11/17,四川,新津,"103.818587,30.416612",27,13,110
66,2018/11/17,上海,金山,"121.34963,30.750087",50,11,314
67,2018/11/19,黑龙江,哈尔滨,"126.660203,45.797976",269,269,900
68,2018/11/20,湖南,怀化,"110.0096,27.574724",61,55,73
69,2018/11/23,北京,房山,"116.095137,39.802101",,49,1325
70,2018/11/23,北京,房山,"116.031608,39.616483",,37,429
71,2018/11/23,内蒙古,包头,"109.84654,40.663148",69,53,88
72,2018/11/25,湖北,阳新,"115.213952,29.836793",9,5,63
73,2018/11/29,天津,宁河,"117.831246,39.338072",,67,361
74,2018/11/30,江西,九江,"115.92258,29.615559",16,4,159
